graph,temporal_edges,batch_size,order,size,time,iterations,error,technique
"email-Eu-core-temporal","332335","1","835","13223","0.2","0","3.8432e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","836","13446","3.015","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","836","13446","0.2","0","3.4427e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","838","13630","3.017","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","838","13630","0.202","0","3.0917e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","840","13876","3.026","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","840","13876","0.2","0","3.2026e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","844","14104","3.027","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","844","14104","0.202","0","3.3036e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","845","14307","3.01","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","845","14307","0.201","0","3.544e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","845","14465","3.011","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","845","14465","0.202","0","3.9108e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","847","14693","3.016","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","847","14693","0.203","0","3.7011e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","850","14927","2.906","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","850","14927","0.2","0","3.9919e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","850","15132","2.902","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","850","15132","0.201","0","3.6214e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","851","15329","2.881","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","851","15329","0.204","0","2.8862e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","852","15455","2.797","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","852","15455","0.201","0","4.3544e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","855","15570","3.311","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","855","15570","0.2","0","4.1556e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","857","15704","2.796","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","857","15704","0.199","0","4.5485e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","857","15868","2.802","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","857","15868","0.2","0","3.7855e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","859","16031","2.788","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","859","16031","0.201","0","3.2094e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","861","16221","2.79","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","861","16221","0.203","0","4.5804e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","862","16462","2.791","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","862","16462","0.202","0","3.8849e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","865","16623","2.787","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","865","16623","0.202","0","3.5198e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","870","16852","2.807","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","870","16852","0.205","0","2.9222e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","872","17022","2.812","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","872","17022","0.202","0","4.1134e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","874","17200","2.692","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","874","17200","0.202","0","4.459e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","875","17352","2.683","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","875","17352","0.203","0","4.0184e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","877","17527","2.711","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","877","17527","0.203","0","3.872e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","878","17687","2.702","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","878","17687","0.201","0","4.2879e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","879","17851","2.677","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","879","17851","0.203","0","3.8835e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","880","18026","2.808","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","880","18026","0.203","0","3.0451e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","881","18169","2.688","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","881","18169","0.202","0","3.9733e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","883","18363","2.682","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","883","18363","0.202","0","4.1306e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","884","18510","2.691","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","884","18510","0.202","0","3.9369e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","885","18678","2.692","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","885","18678","0.202","0","3.7794e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","887","18843","2.69","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","887","18843","0.201","0","4.2679e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","888","18977","2.811","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","888","18977","0.201","0","2.9131e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","891","19165","2.797","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","891","19165","0.202","0","3.6188e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","891","19308","2.785","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","891","19308","0.2","0","4.9089e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","894","19476","2.809","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","894","19476","0.201","0","3.8627e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","898","19620","2.804","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","898","19620","0.201","0","4.2467e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","901","19790","2.793","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","901","19790","0.206","0","4.1518e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","913","19981","2.784","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","913","19981","0.202","0","2.9405e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","916","20121","2.808","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","916","20121","0.202","0","3.1687e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","918","20241","2.79","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","918","20241","0.205","0","3.3571e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","922","20374","2.795","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","922","20374","0.202","0","3.2791e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","929","20535","2.783","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","929","20535","0.201","0","3.4033e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","938","20730","2.687","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","938","20730","0.204","0","4.7036e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","942","20946","2.703","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","942","20946","0.2","0","3.6723e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","946","21197","2.697","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","946","21197","0.202","0","3.5534e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","950","21422","2.695","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","950","21422","0.202","0","3.5035e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","957","21708","2.692","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","957","21708","0.203","0","3.068e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","959","21879","2.689","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","959","21879","0.202","0","3.6604e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","960","22073","2.694","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","960","22073","0.956","0","4.2189e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","963","22210","2.683","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","963","22210","0.202","0","4.5409e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","963","22380","2.688","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","963","22380","0.205","0","2.95e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","964","22544","2.704","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","964","22544","0.203","0","2.9533e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","965","22686","2.685","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","965","22686","0.201","0","3.4469e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","965","22805","2.677","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","965","22805","0.203","0","3.6239e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","970","22980","2.697","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","970","22980","0.203","0","4.2128e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","970","23155","2.69","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","970","23155","0.2","0","3.8749e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","972","23290","2.7","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","972","23290","0.202","0","3.5201e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","975","23469","2.694","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","975","23469","0.2","0","2.8517e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","976","23640","2.692","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","976","23640","0.203","0","3.0351e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","977","23833","2.585","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","977","23833","0.202","0","4.4513e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","978","23977","2.691","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","978","23977","0.201","0","2.8695e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","980","24118","2.689","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","980","24118","0.202","0","3.3157e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","980","24217","2.698","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","980","24217","0.203","0","3.8203e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","981","24352","2.682","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","981","24352","0.203","0","3.1778e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","983","24479","2.681","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","983","24479","0.206","0","4.0546e-7","pagerankDynamic"
"email-Eu-core-temporal","332335","1","984","24641","2.802","0","0","pagerankStatic"
"email-Eu-core-temporal","332335","1","984","24641","0.202","0","3.5152e-7","pagerankDynamic"
