graph,order,size,batch_size,technique,time,iterations,error
"sx-superuser","194081","924864","10","pagerankStatic","6.566770000000002","0","0"
"sx-superuser","194081","924864","10","pagerankDynamic","2.8578499999999996","0","0.0000021983542000000007"
"sx-superuser","194081","924864","50","pagerankStatic","6.56946","0","0"
"sx-superuser","194081","924864","50","pagerankDynamic","4.226289999999998","0","0.000002367749000000001"
"sx-superuser","194081","924864","100","pagerankStatic","6.566749999999998","0","0"
"sx-superuser","194081","924864","100","pagerankDynamic","4.56375","0","0.0000024030209999999996"
"sx-superuser","194081","924864","500","pagerankStatic","6.565519999999997","0","0"
"sx-superuser","194081","924864","500","pagerankDynamic","5.38146","0","0.0000025341889999999997"
"sx-superuser","194081","924864","1000","pagerankStatic","6.56351","0","0"
"sx-superuser","194081","924864","1000","pagerankDynamic","5.663009999999999","0","0.000002649082999999999"
"sx-superuser","194081","924864","5000","pagerankStatic","6.563999999999997","0","0"
"sx-superuser","194081","924864","5000","pagerankDynamic","6.24307","0","0.0000030167279999999994"
"sx-superuser","194081","924864","10000","pagerankStatic","6.564540000000001","0","0"
"sx-superuser","194081","924864","10000","pagerankDynamic","6.491330000000002","0","0.000003215146000000001"
"wiki-talk-temporal","1140122","3309560","1","pagerankStatic","8.259780000000001","0","0"
"wiki-talk-temporal","1140122","3309560","1","pagerankDynamic","0.5647800000000003","0","0.0000010201610000000002"
"wiki-talk-temporal","1140122","3309560","5","pagerankStatic","8.250729999999997","0","0"
"wiki-talk-temporal","1140122","3309560","5","pagerankDynamic","1.3867399999999999","0","0.0000018660398999999997"
"wiki-talk-temporal","1140122","3309560","10","pagerankStatic","8.237670000000001","0","0"
"wiki-talk-temporal","1140122","3309560","10","pagerankDynamic","1.7982100000000008","0","0.0000022740854"
"wiki-talk-temporal","1140122","3309560","50","pagerankStatic","9.137059999999998","0","0"
"wiki-talk-temporal","1140122","3309560","50","pagerankDynamic","3.6282099999999984","0","0.0000030767233"
"wiki-talk-temporal","1140122","3309560","100","pagerankStatic","8.252810000000002","0","0"
"wiki-talk-temporal","1140122","3309560","100","pagerankDynamic","4.384650000000001","0","0.0000032388645999999987"
"wiki-talk-temporal","1140122","3309560","500","pagerankStatic","9.449800000000002","0","0"
"wiki-talk-temporal","1140122","3309560","500","pagerankDynamic","7.204339999999999","0","0.0000033588710000000013"
"wiki-talk-temporal","1140122","3309560","1000","pagerankStatic","8.152299999999999","0","0"
"wiki-talk-temporal","1140122","3309560","1000","pagerankDynamic","6.34442","0","0.0000033806930000000014"
"wiki-talk-temporal","1140122","3309560","5000","pagerankStatic","8.230659999999997","0","0"
"wiki-talk-temporal","1140122","3309560","5000","pagerankDynamic","7.3960500000000025","0","0.0000035821540000000006"
"wiki-talk-temporal","1140122","3309560","10000","pagerankStatic","10.090750000000003","0","0"
"wiki-talk-temporal","1140122","3309560","10000","pagerankDynamic","8.450810000000004","0","0.00000372594"
"wiki-talk-temporal","1140122","3309560","50000","pagerankStatic","9.121220000000001","0","0"
"wiki-talk-temporal","1140122","3309560","50000","pagerankDynamic","10.248230000000001","0","0.000004262312000000001"
"sx-stackoverflow","2601975","36233429","1","pagerankStatic","51.179930000000006","0","0"
"sx-stackoverflow","2601975","36233429","1","pagerankDynamic","3.0862099999999986","0","0.0000013436222999999995"
"sx-stackoverflow","2601975","36233429","5","pagerankStatic","57.52958000000002","0","0"
"sx-stackoverflow","2601975","36233429","5","pagerankDynamic","7.709150000000003","0","0.0000022292941"
"sx-stackoverflow","2601975","36233429","10","pagerankStatic","104.72846999999996","0","0"
"sx-stackoverflow","2601975","36233429","10","pagerankDynamic","30.413429999999998","0","0.0000025812003000000006"
"sx-stackoverflow","2601975","36233429","50","pagerankStatic","103.68901","0","0"
"sx-stackoverflow","2601975","36233429","50","pagerankDynamic","51.97677000000002","0","0.0000034486959999999987"
"sx-stackoverflow","2601975","36233429","100","pagerankStatic","51.16938999999999","0","0"
"sx-stackoverflow","2601975","36233429","100","pagerankDynamic","20.249799999999997","0","0.000003601312"
"sx-stackoverflow","2601975","36233429","500","pagerankStatic","51.12936000000001","0","0"
"sx-stackoverflow","2601975","36233429","500","pagerankDynamic","28.123480000000004","0","0.000003769575"
"sx-stackoverflow","2601975","36233429","1000","pagerankStatic","51.08990000000001","0","0"
"sx-stackoverflow","2601975","36233429","1000","pagerankDynamic","30.5244","0","0.000003804960999999999"
"sx-stackoverflow","2601975","36233429","5000","pagerankStatic","51.17821999999999","0","0"
"sx-stackoverflow","2601975","36233429","5000","pagerankDynamic","35.398150000000015","0","0.000003886473000000001"
"sx-stackoverflow","2601975","36233429","10000","pagerankStatic","51.19210000000002","0","0"
"sx-stackoverflow","2601975","36233429","10000","pagerankDynamic","37.25456","0","0.000003937863000000002"
"sx-stackoverflow","2601975","36233429","50000","pagerankStatic","51.16128000000001","0","0"
"sx-stackoverflow","2601975","36233429","50000","pagerankDynamic","41.769580000000005","0","0.0000041384509999999996"
"sx-stackoverflow","2601975","36233429","100000","pagerankStatic","51.12393000000001","0","0"
"sx-stackoverflow","2601975","36233429","100000","pagerankDynamic","43.50609999999999","0","0.000004266885"
"sx-stackoverflow","2601975","36233429","500000","pagerankStatic","51.132840000000016","0","0"
"sx-stackoverflow","2601975","36233429","500000","pagerankDynamic","47.74276999999998","0","0.000004676706"
